film_title,category_name,rental_duration,standard_quartile
Right Cranes,Classics,7,3
Robbers Joon,Children,7,3
Roman Punk,Music,7,3
Room Roman,Animation,7,3
Roots Remember,Classics,4,3
Runner Madigan,Music,6,3
Rushmore Mermaid,Comedy,6,3
Sabrina Midnight,Children,5,3
Saddle Antitrust,Comedy,7,4
Santa Paris,Children,7,4
Saturn Name,Comedy,7,4
Scalawag Duck,Music,6,4
Scarface Bang,Children,3,4
Searchers Wait,Comedy,3,4
Shepherd Midsummer,Children,7,4
Silence Kane,Music,7,4
Sister Freddy,Children,5,4
Sleepless Monsoon,Animation,5,4
Sling Luke,Classics,5,4
Snatchers Montezuma,Classics,4,4
Snatch Slipper,Comedy,6,4
Snowman Rollercoaster,Animation,3,4
Song Hedwig,Music,3,4
Sons Interview,Animation,3,4
Spiking Element,Classics,7,4
Splendor Patton,Children,5,4
Stage World,Comedy,4,4
Steel Santa,Classics,4,4
Storm Happiness,Animation,6,4
Strangelove Desire,Children,4,4
Stranger Strangers,Children,3,4
Strictly Scarface,Comedy,3,4
Submarine Bed,Comedy,5,4
Sugar Wonka,Animation,3,4
Summer Scarface,Classics,5,4
Sundance Invasion,Children,5,4
Sunrise League,Animation,3,4
Sweden Shining,Comedy,6,4
Sweethearts Suspects,Children,3,4
Tadpole Park,Classics,6,4
Taxi Kick,Music,4,4
Telegraph Voyage,Music,3,4
Telemark Heartbreakers,Animation,6,4
Tequila Past,Children,6,4
Terminator Club,Music,5,4
Theory Mermaid,Animation,5,4
Thief Pelican,Animation,5,4
Ties Hunger,Children,3,4
Timberland Sky,Classics,3,4
Titanic Boondock,Animation,3,4
Tomorrow Hustler,Classics,3,4
Tootsie Pilot,Children,3,4
Towers Hurricane,Classics,7,4
Tracy Cider,Animation,3,4
Trainspotting Strangers,Comedy,7,4
Tramp Others,Comedy,4,4
Turn Star,Animation,3,4
Twisted Pirates,Children,4,4
Uncut Suicides,Music,7,4
Uptown Young,Children,5,4
Valley Packer,Comedy,3,4
Vanishing Rocky,Music,3,4
Velvet Terminator,Comedy,3,4
Vertigo Northwest,Comedy,4,4
Volume House,Classics,7,4
Voyage Legally,Classics,6,4
Wait Cider,Animation,3,4
Walls Artist,Children,7,4
Warlock Werewolf,Children,6,4
Wasteland Divine,Classics,7,4
Watch Tracy,Animation,5,4
Westward Seabiscuit,Classics,7,4
Wisdom Worker,Comedy,3,4
Wizard Coldblooded,Music,4,4
Won Dares,Music,7,4
Wonka Sea,Animation,6,4
Words Hunter,Music,3,4
Wrong Behavior,Children,6,4
Youth Kick,Music,4,4
Zoolander Fiction,Children,5,4
Zorro Ark,Comedy,3,4
