film_title,category_name,rental_count
Cat Coneheads,Comedy,30
Closer Bang,Comedy,28
Operation Operation,Comedy,27
Velvet Terminator,Comedy,26
Mallrats United,Comedy,25
Downhill Enough,Comedy,25
Hurricane Affair,Comedy,24
Gunfight Moon,Comedy,24
Knock Warlock,Comedy,24
Caper Motions,Comedy,24
Strictly Scarface,Comedy,23
Hustler Party,Comedy,22
Snatch Slipper,Comedy,22
Doom Dancing,Comedy,21
Fireball Philadelphia,Comedy,21
Pinocchio Simon,Comedy,20
Tramp Others,Comedy,20
Bringing Hysterical,Comedy,20
Groundhog Uncut,Comedy,18
Lion Uncut,Comedy,18
Heaven Freedom,Comedy,18
Sweden Shining,Comedy,18
